Let's try 【anyway】.	【とにかく】やってみよう。
find a 【replacement】 for Tex	テックスの後任を見つける
for no 【apparent】 reason	明確な理由なしに
reduce 【inventory】	在庫を減らす
a newly 【renovated】 library	新しく改装された図書館
contact a 【reference】	照会先に連絡を取る
【consistently】 rank among the top 10 universities	常にトップ１０の大学にランクインしている
the highly 【anticipated】 new book	非常に期待されている新刊
a strong 【commitment】 to quality	品質への強い約束
【retail】 stores	小売店
improve 【productivity】	生産性を改善する
Tex has been 【assigned】 the work	テックスはその仕事を任された。
【renew】 a contract	契約を更新する
a successful 【candidate】	合格するような候補者
the original 【quote】	最新の提示価格
reply 【swiftly】	すばやく返答する
find even the smallest 【defects】	小さな欠陥でさえも発見する
an 【economical】 printer	低コストのプリンター
escort visitors to their 【destinations】	目的地まで旅行者に付き添う
【illustrate】 the point	ポイントを説明する
a 【dominant】 position in the market	市場での圧倒的なポジション
The meeting starts 【promptly】 at 1 P.M.	会議は午後１時ちょうどに始まります
【outdated】 TOEIC books	時代遅れのTOEIC本
The weather in Auckland is quite 【agreeable】	オークランドの天気はとても快適です。
Tex 【occasionally】 travels abroad.	テックスは時々海外に出張する。
【inspect】 a building	建物を検査する
a marketing 【strategy】	マーケティング戦略
wear 【protective】 clothing	防護用の服を着用する
【resume】 operations	操業を再開する
A new security system was 【implemented】	新しいセキュリティシステムが実施された
the 【transition】 from student to professional	学生から社会人への移行
【transform】 a supply room into an office	備品室をオフィスに一変させる
【assemble】 the materials	資料を一つにまとめる
【alert】 Tex to the problem	テックスに問題を知らせる
performance 【evaluation】	成績評価
an 【option】 to change the date	日付を変更する選択肢
I have eaten at 【numerous】 local restaurants.	私は数多くの地元のレストレンで食事をしたことがあります
an 【accomplished】 designer	熟練したデザイナー
【deserve】 a promotion	昇進に値する
a dress 【patterned】 with flowers	花の模様が入ったドレス
Street parking is 【prohibited】 in this area.	路上駐車はこの地域では禁止されています
provide 【relief】 to people	人々に安らぎを与える
the company's 【mission】	会社の使命
【restrict】 employees from accessing the Internet	従業員がインターネットにアクセスすることを制限する
The weather is cold, so dress 【accordingly】	気候が寒冷なので、それに応じた服を着てください
a 【pension】 plan	年金計画
some experts 【predict】 that	数名の専門家は～と予想している
Tex was 【eventually】 promoted the CEO.	テックスは最終的にはCEOに昇進した。
an 【innovative】 technology	革新的な技術
the scene of the 【investigation】	調査の現場
【reserve】 the right to cancel an order	注文をキャンセルする権利を保有する
three 【district】 features	３つのはっきり異なる特徴
【register】 for employee training	社員研修に登録する
The facility 【houses】 six laboratories.	その施設には６つの研究所が入っている
【resign】 without notice	予告なしに辞任する
【delicate】negotiations	細心の注意が必要な交渉
【honor】 an employee	社員を称える
a six-piece 【assortment】	６個入りの詰め合わせ
【substitute】 butter for vegetable oil	植物油の代わりにバターを使う
【relocate】 an office	オフィスを移転する
Tex was 【reluctant】 to talk about it.	テックスはそのことについて話したがらなかった
【dispose】 of garbage	ゴミを処分する
work 【independently】 and as a team member	単独でもチームの一員としても働く
The problems all 【stem】 from Tex.	問題はすべてテックスから生じる
【convert】 a warehouse into an office	倉庫をオフィスに改造する
【urge】 Tex to change his mind	テックスに考えるよう強く促す
【enlarge】 a house	家を増築する
It is 【doubtful】 that Tex will succeed	テックスが成功するかは疑問だ
The machine is still 【functional】	その機械はまだちゃんと機能している
【fulfill】 a requirement	必要条件を満たす
【approximately】 two hours	約２時間
corporate 【headquarters】 in New York	ニューヨーク本社
form an 【alliance】	提携関係を築く
【routine】 maintenance work	普段行われているメンテナンス作業
【undertake】 a study	調査を引き受ける
highly 【knowledgeable】 about investments	投資について非常に知識が豊富な
The company 【specializes】 in Web design.	その会社はウェブデザインを専門にしている。
the first 【phase】	第一段階
a construction 【permit】	建設許可証
a 【regional】 sales meeting	地域の営業会議
My driver's license 【expires】 in April.	私の運転免許証は４月に期限が切れます。
the sales 【outlook】	売上見通し
【generous】 contributions to a charity	慈善団体への寛大な寄付
Each room is 【equipped】 with Internet access.	それぞれの部屋にはインターネットが備わっています。
【install】 a new printer	新しいプリンターを設置する
ask for a 【prescription】	処方箋を依頼する
【recipients】 of the prize	賞の受賞者
the new 【recruits】	新入社員
The price includes flights and 【accommodations】	料金には航空運賃と宿泊費が含まれています
obtain a 【grant】	補助金を得る
seat and meal 【preferences】	座席と食事の希望
Sales have been increasing 【steadily】	売り上げは着実に伸びている
【suspend】 production	生産を一時停止する
【consult】 a doctor	医師に相談する
【ensure】 that the products are safe	製品が安全であることを保証する
【tourism】 industry	観光産業
without the written 【consent】	書面での同意なしに
Make sure you have all your 【belongings】	所持品をお持ちか、ご確認ください。
a local 【grocery】 store	地元の食料品店
receive a 【paycheck】	給料を受け取る
【flexible】 work hours	フレックスタイム制
the former and the 【latter】	前者と後者
modify a contract	契約を修正する
operate in multiple countries	複数の国で営業する
profile a businessperson	ビジネスパーソンの人物紹介をする
rapidly and precisely	迅速かつ正確に
Tex was exhausted.	テックスは疲れ切っていた
a timeline of events	イベントの予定表
a six-digit code	6桁のコード
reimburse travel expenses	旅費を払い戻す
reach a compromise	妥協点に達する
the objective of the survey	アンケート調査の目的
check the Web site periodically	ホームページを定期的にチェックする
extensive analysis	詳細な分析
a combined effort	共同の努力
Tex repeatedly called the number.	テックスは何度もその番号に電話した。
We are dedicated to providing quality service.	当社の質の高いサービスを提供することに尽力しています。
an adequate explanation	十分な説明
use fresh ingredients	新鮮な材料を使う
open an outlet in Japan	日本で店舗をオープンする
Sales have increased considerably.	売上がかなり上がった
Tex is qualified for the position.	テックスはその職に適任だ。
acknowledge receipt of the order	注文を受け取ったことを知らせる
a reliable secretary	頼りになる秘書
a well-deserved reputation	確固たる評判
prepare an agenda beforehand	前もってアジェンダを用意する
valid until the end of May	5月まで有効な
an inspiring speech	やる気の出るスピーチ
work a lot of overtime	長時間残業する
an authorized dealer	公認の販売店
easily accessible by train	電車で簡単に行ける
give a superb presentation	素晴らしいプレゼンを行う
donations to the museum	ミュージアムへの寄付
revise a plan	計画を修正する
Refreshments will be served.	軽食が出ます
Whereas sales increased, profits dropped.	売り上げが伸びた一方で、利益は減少した。
the regulations clearly specify that	規則には～とはっきり記されている。
countless times	数えきれないほど何度も
media coverage	メディアの報道
Tex is looking forward to the banquet.	テックスは夕食会を楽しみにしている。
dependence on imported oil	輸入石油への依存
The system worked execeptionally well.	そのシステムは非常にうまく機能した。
The rent inculuds all utility.	家賃にはすべての公共料金が含まれています。
Thank you for your inquiry.	お問合せありがとうございます。
unfavorable market conditions	好ましくない市状
be comparable in size to Tokyo Dome	大きさで東京ドームに匹敵する
wasteful spending	無駄な出費
a blueprint for the new theater	新しい劇場の設計図
an administrative assistant	管理アシスタント
a storage facility	貯蔵施設
a copy of the certificate	認定証の写し
the remainder of the budget	予算の残り
a bank transaction	銀行取引
This is Tex Kato from Tex Pharmacy.	テックス薬局のテックス加藤です。
boost the company's profit	会社の利益を押し上げる
The staff was courteous	スタッフは礼儀正しかった。
generate profits	利益を生み出す
pay tuition fees	授業料を払う
the most recent statistics	一番最近の統計
fill out a questionnaire	アンケート用紙に記入する
subscribe to a magazine	雑誌を購読する
summary	短い要約
The pipe under the sink is leaking.	流しの下のパイプから水が漏れている。
the assessment of the value	価値の評価
a motivated individual	やる気のある方
a diverse group of experts	多種多様な専門家グループ
a full refund	全額返金
monitor inventory levels	在庫レベルを監視する
publicize a book	本を宣伝する
be eligible to receive paid holidays	有給休暇を受け取る資格がある
a complimentary breakfast	無料の朝食
damage in transit	輸送中のダメージ
kitchen appliances	台所用電化製品
Please refrain from using mobile phones.	携帯電話のご利用はお控えください。
a product brochure	製品のパンフレット
an informative seminar	役立つセミナー
Add salt to enhance the flavor.	風味を高めるために塩を加える。
prior to the meeting	ミーティングの前に
a two-year lease	2年間の賃貸契約
give an overview	概略を説明する
clarify the situation	状況をはっきりさせる
The report was clear and concise.	そのレポートはわかりやすく簡潔だった。
We are really understaffed.	本当に人手不足です。
an embarrassing failure	恥ずかしい失敗
send an itinerary	旅程表を送る
in a calm manner	冷静な方法で
make upgrades to the air conditioning system	冷暖房システムを改良する
mergers and acquisitions	合併買収(M&A)
notify employees of the change	従業員に変更を知らせる
the tentative schedule	仮のスケジュール
a beverage manufacturer	飲料メーカー
be compensated for damage	損害の補償を受ける
shareholders' meeting	株主総会
a certified building inspector	資格を持った建物の検査官
work in collaboration with others	他人と共同で作業する
specifications for the project	プロジェクトの仕様書
confidential materials	機密の資料
the fund-raising diner	資金集めの夕食会
garment manufacturers	衣料品メーカー
Tex attributes his success to luck.	テックスは自分が成功したのは幸運のおかげだとしている。
a vacant unit in an apartment building	アパートの空室
She will reportedly play the lead role.	伝えられるところでは、彼女が主役を演じる予定だ。
state-of-the-art equipment	最新式の機器
Good mommunication is vital in the workplace.	良好なコミュニケーションが職場では不可欠だ。
revitalize a community	地域を再活性化する
personalize a product	製品に名入れする
a masterpiece of European painting	ヨーロッパ絵画の傑作
Please include your portfolio.	作品集を添えてください
a travel voucher	旅行券
a renowned architect	名高い建築家
French cuisine	フランス料理
Photographs capture memorable moments in life.	写真は人生の思い出の瞬間を記録します。
encounter a serious problem	問題に直面する
prominently displayed in a magazine	雑誌に目立って搭載されている
undergo training	トレーニングを受ける
Situated downtown, the hotel is convenient.	中心街に位置していて、そのホテルは便利だ。
show moderate interest	そこそこの関心を示す
because of a scheduling conflict	スゲジュールがかち合ったので
friends and acquaitances	友人や知人
positive reviews from critics	評論家からの好意的なレビュー
I'm thrilled to see you.	お会いできてとても感激しています。
abundant opportunities for career advancement	キャリアアップのための有り余る機会
Fat-free dairy products	無脂肪の乳製品
experience at a managerial level	管理職のレベルでの経験
We appreciate your patronage.	ご愛顧に感謝いたします。
a last-minute change	間際になっての変更
available exclusively to our members	メンバー限定で利用できる
a useful perspective on the topic	その話題について役に立つ考え方
safety measures	安全対策
on the premises	敷地内で
a faculty member at Tex College	テックス大学の教授陣の一員
advertising revenue	広告収入
initiate a negotiation	交渉を開始する
compile a list of participants	参加者リストを取りまとめる
the report was commissioned by Tex Corporation.	その報告書はテックス社からの委託を受けたものだ。
the biography of Steve Jobs	スティーブ・ジョブズの伝記
edit a manuscript	原稿を編集する
the vast majority of people in Japan	日本にいる人の大多数
overcome an obstacle	障害を乗り越える
a circulation desk	貸出カウンター
detect an error	ミスを見つける
be solely responsible for the decision	結論に一人で責任を持つ
strikingly different	はっきり異なる
weigh an offer	オファーを比較検討する
the trains originate from Tokyo Station.	それらの電車は東京駅始発です。
within the confines of the law	法律の範囲内で
have no obligation to do	～をする義務がない
fierce competition	激しい競争
the event coincides with Tex's birthday.	そのイベントはテックスの誕生日と重なっている。
Tex was instrumental in the project.	テックスはそのプロジェクトで重要な存在だった。
be proficient in English	英語が堪能な
speculation from industry experts	業界の専門家の推測
topics relevant to the work	仕事に関連した話題
only a fraction of the original price	元の価格のごく一部
subtle differences	微妙な違い
Tex is overwhelmed with paperwork.	テックスは事務作業の多さに圧倒されている。
a prosperous town	栄えてる町
a growth initiative	成長のための新計画
Innovation is crucial for business success.	技術革新は会社の成功に非常に重要だ。
The community enthusiastically supports the event.	地域でそのイベントを熱心に支援しています。
a sequence of events	一連の出来事
a shopping excursion	買い物のお出かけ
a picturesque village	絵のように美しい村
an antique timepiece	ｱﾝﾃｨｰｸの時計
preliminary results from a survey	調査の暫定結果
execute a plan	計画を実行する
a matter of the utmost importance	この上なく重要な事項
Construction will commence in September.	建設作業は9月に始まる
the scope of the study	調査の範囲
British shoppers and their American counterparts.	イギリスの買い物客とアメリカのそれ
apply for a patent	特許を出願する
shop online, thus avoiding the long lines	オンラインで買い物をして、そうして長い行列を避ける。
affordable yet durable	手ごろな価格だけれども耐久性がある
expertise in computer programming	コンピュータ・プログラミングの専門知識
a comprehensive list of products	製品の総合的なリスト
the subsequent day	その次の日
inclement weather	荒れた天気
excellent credentials as a scientist	科学者としての優れた経歴
Tex voluntarily left the company.	テックスは自主的に会社を辞めた。
We will not be liable for any damage.	当社では損害に関しては責任を負いません。
The dessert complements the main dish.	そのデザートはメインデッシュに合う。
energy conservation	エネルギーの節約
delegate authority to subordinates	部下に譲り渡す
make a bid	入札を行う
talk informally with the general manager	部長と気軽に話をする
unanimous approval	満場一致の承認
prospective customers	見込みの客
a letter to commend an employee	従業員をほめるための手紙
a remedy for slow sales	不審の売り上げに対する改善策
a special detergent	特殊な洗剤
withstand high temperatures	高温に耐える
give a persuasive speech	説得力のあるスピーチを行う
in the previous correspondence	前回のやり取り
intentionally delay payments	意図的に支払いを遅らせる
enforce a new policy	新しい規則を施行する
in the overhead compartment	頭上の収納スペース
strive to cut costs	コスト削減のために懸命に努力する
speak eloquently	雄弁に話す
a notable feature	注目すべき特徴
different from the predecessor	前任者と異なる
hourly workers	時間給の労働者
the kitchen is outfitted with new appliances.	キッチンには新しい電化製品が装備されています。
a good indicator of success	成功の良い指標
a security lapse	安全面の不備
as a token of our appreciation for	～への我々の感謝の印として
a subsidiary of a Japanese company	日本企業の子会社
call a plumber	配管工に電話する
The company has an on-site childcare center.	会社には社内の保育所があります。
hundreds of submissions from the readers	読者からの何百もの提出物
The tower is the town's landmark.	その塔は町の名所です。
a wildlife photographer	野生生物の写真家
an apprentice technician	技術者見習い
one of Tokyo's premier restaurants	東京で最高のレストランの一つ
a three-day intensive training seminar	3日間の集中的な研修
make amendments to the contract	契約書に修正を加える
Tex and Masaya, 16 and 18, respectively	テックスとマサヤ、それぞれ16歳と18歳
check fabric samples	生地サンプルをチェックする
catering service	仕出しサービス
a fully furnished room	完全に家具が付いた部屋
publish a periodical	定期刊行物を出版する
Everything arrived intact.	すべてが無傷で届いた。
for the duration of the event	イベントの期間中
receive a medical diagnosis	医療診断を受ける
surpass last year's sales	去年の売り上げを超える
a construction contractor	建設請負業者
staff turnover	スタッフの離職率
The rule is applicable to all employees.	その規制は全社員に適用されます。
the municipal government	市政府
an inactive lifestyle	怠惰なライフスタイル
tailor services to clients' needs	顧客のニーズにサービスを合わせる
clerical duties	事務の仕事
due to time constraint	時間に制約があるため
a prestigious title	権威のある肩書
a young entrepreneur	若き企業家
adverse health effects	健康面への良くない影響
a designated parking area	指定の注射区域
an advocate for energy efficiency	省エネの提唱者
justification for the extra fee	追加料金の正当な理由
authentic works of art	本物の芸術作品
a major reorganization	大きな組織替え
a discontinued appliance	製造が終了した電化製品
cautiously optimistic about	～について慎重ながらも楽観的な
as a precaution	予防措置として(念のため)
The proceeds will go to charity.	収益は慈善活動に回されます。
interact with colleagues	同僚と交流する
an array of books	ズラリと並んだ本
fragile items	壊れやすいモノ
persistence in job search	仕事探しでの粘り強さ
Please disregard my previous e-mail.	この前のメールは無視してください。
Colorful illustrations are integrated with the text.	カラフルなイラストが文字と融合している。
an automated message	自動化されたメッセージ
enroll in an aerobics class	エアロビクスのクラスに入る
a machine malfunction	機会の故障
an ongoing project	進行中のプロジェクト
a cold medication	風邪薬
amenities such as gyms and swimming pools	ジムやプールといった娯楽施設
in observance of the national holiday	国民の休日の行事として
a sales quota	売り上げノルマ
interpersonal skills	対人スキル
This product is endorsed by celebrities.	この製品は有名人の推薦を受けている。
an anonymous donor	匿名の寄贈者
allocate sufficient budget for a project	プロジェクトに十分な予算を割り当てる
lower costs and correspondingly	コストの削減とそれに応じた利益増
state emphatically that	～だときっぱりと述べる
a nationally syndicated radio program	全国ネットのラジオ番組
an abridged version	要約版
the company directory	社員名簿
facilitate a discussion	議論を促進する
the occupancy rate of hotels	ホテルの占有率(稼働率)
pay a premium for organic vegetables	有機野菜に割増料金を払う
The advertisement was misleading.	その広告は誤解を招く恐れがあった。
family outings	家族でのお出かけ
the copyright law	著作権法
a turnaround plan	立て直し計画
verify the test results	実験結果を検証する
a lengthy process	長期にわたるプロセス
the table looks sturdy.	そのテーブルは頑丈に見える。
reducing costs, thereby improving profitability	コストを削減し、そうすることで利益性を改善する
supplementary charts and graphs	追加の図表
affordable and nutritious dishes	手ごろな値段で栄養のある料理
solicit donations	寄付を募る
The parking lot was too congested.	駐車場は非常に渋滞していた。
during the intermission	休憩時間中に
It is pointless to discuss the matter.	その問題について話すのは意味がない。
oversee a department	部門を監督する
take the scenic route	眺めがいいルートをイク
become obsolete	時代遅れになる
unveil a new product	新商品を発表する
service interruption	サービスの中断
a rigorous testing process	厳格な検査工程
sustainable energy	環境に優しいエネルギー
It's an oversight on our part.	それはこちらの見落としです。
The event is customarily held in April.	そのイベントは通例4月に行われている。
incur a fine	罰金を受ける
a duplicate key	複製の鍵(合鍵)
terminate a contract	契約を終了させる
gain momentum	勢いが付く
dilute the paint with water	塗料を水で薄める
an affluent neighborhood	裕福な近隣地域
retrieve the data	データを取り出す
Members are exempt from the fee.	会員は料金を免除されます。
stringent quality standards	厳しい品質基準
adhere to the rules	規則に従う
conform to international standards	国際基準に従う
comply with the regulations	規則に従う
in accordance with the standards	基準に従って
consistent with the company policies	会社の方針に合った
in keeping with the company policy	会社の方針に合わせて
abide by the terms of a contract	契約条件に従う
a delegation of engineers from Japan	日本からの技術者の代表団
The Internet is integral to our lives.	インターネットは我々の生活に不可欠だ。
Wood is vulnerable to moisture.	木材は湿気に弱い。
at the discretion of the committee	委員会の裁量で
Road conditions will deteriorate.	路面の状況は悪化するだろう。
rising for an unprecedented eight months	前例のない８カ月にわたっての上昇
The company's stock price plummeted.	その会社の株価は急落した。
a lucrative business	儲かるビジネス
a resourceful manager	機転が利くマネージャー
skeptical about the possibility	可能性に懐疑的な
Using the Internet became the norm.	インターネットの使用は当たり前になった。
embrace an idea	考えを積極的に受け入れる
an insightful article	洞察力に優れた記事
consolidate two divisions into one	二つの部門を一つに統合する
Passengers were left stranded at the airport.	乗客が空港で足止めされた。
refute a claim	主張を論破する
a liaison between management and employees	経営陣と従業員の間の連絡係
be contractually obligated	契約により義務を負った
Tex found the noise objectionable.	テックスはその騒音を不快に感じた。
itemize travel expenses	出張旅費を項目分けする
janitorial services	(ビルなどの)清掃サービス
forge a relationship	関係を築く
for the third consecutive year	3年連続で
after long deliberation	熟慮の末
the impending change in leadership	間近に迫ったトップの交代
The position entails a lot of travel.	そのポジションには頻繁な出張が求められる。
a feasible plan	実現可能な計画
a critically acclaimed movie	評論家に絶賛されている映画
a newlywed who lives in Philadelphia	フィラデルフィア在住の新婚の人
hire staff on a provisional basis	スタッフを仮採用する
an unsolicited e-mail	未承諾メール
affiliation with other companies	他社との連携
It is imperative that we act now.	今行動することが必要だ。
a versatile person	多才な人
repetitive work	繰り返しの多い作業
avoid the use of jargon	専門用語の使用を避ける
an appraisal on a house	家の査定
a few minor shortcomings	いくつかの小さな欠点
strenuous efforts	精力的な努力
meticulously created artwork	細心の注意を払って作られた芸術作品
proximity to the beach	ビーチへの近さ
I inadvertently sent an e-mail to Tex.	うっかりメールをテックスに送ってしまった。
The medicine may cause drowsiness.	薬は眠気を引き起こすかもしれません。
the inaugural issue	最初の号(創刊号)
attend a mandatory meeting	参加必須の会議に出席する
speak candidly	率直に話す
the turnout for the concert	コンサートへの来場者数
diversify into new business areas	新しいビジネス分野に手を広げる
unbiased opinions	公平な意見
streamline the process	プロセスを簡略化する
a volatile market situation	変わりやすい市況
a power outage	電力の供給停止(停電)
an exquisite piece of jewelry	優美な宝飾品
pay by monthly installments	月々の分割払い
demolish a building	建物を解体する
a discrepancy between the figures	数字と数字の食い違い
Tex's career came to an abrupt end.	テックスのキャリアは突然の終わりを迎えた。
a definitive book on TOEIC vocabulary	TOEIC語彙の決定版の本
an intriguing study	興味深い調査
unrivaled in quality	品質で他の追随を許さない
during his two-year tenure	彼の2年間の在職期間中
revert to the old version	旧バージョンに戻る
the benefits outweigh the risks	メリットがリスクを上回る
elegant drapery	エレガントなカーテン
Gas prices are poised to fall.	ガソリン価格が下がりそうだ。
a sleek and attractive design	流れるような魅力的なデザイン
un exemplary employee	模範的な社員
a contingency plan	不測の事態に対する計画
for a nominal fee	ほんのわずかな費用で
deplete the budget	予算を使い果たす
the proprietor of a clothing shop	洋品店のオーナー
copyright infringement	著作権侵害
We will waive the shipping charge.	送料は請求しません。
alleviate traffic congestion	交通渋滞を緩和する
an avid reader	熱心な読者
a gala dinner	祝賀ディナー
a stagnant market	停滞した市場
a calm demeanor	穏やかな態度
perishable food items	傷みやすい食品
take a detour	回り道をする
use salt sparingly	塩を控えめに使う
temperature fluctuations	気温の変動
invigorate a company	会社を活性化する
Formal attire is required in the office.	フォーマルな服装がオフィスでは必要です。
Salary will be commensurate with the experience.	給料は経験に比例します。
a purveyor of groceries	食料品の販売業者
the keynote speaker	基調講演者
poor ventilation	風通しの悪さ
expedite a process	プロセスを早める
liquidate a company	会社を清算する
since the inception	創設以来
through your unwavering efforts	皆さんの不断の努力で
Your vocabulary has grown exponentially.	皆さんの語彙は加速度的に増えました。