1. create	[動] ～を創り出す ～を引き起こす
1426. spark	[動] ～を引き起こす ～を刺激する、スパークする
1427. seize	[動] ～をつかむ ～を奪い取る、～を没収する
1428. soar	[動] 急上昇する 空高く飛ぶ
1429. glow	[動] 光り輝く 赤く燃える、紅潮する
1430. disguise	[動] ～に変装させる ～を偽る
1431. distort	[動] ～を歪める ゆがむ
1432. undermine	[動] ～を徐々に蝕む ～を侵食する
1433. abolish	[動] ～を廃止する
1434. strip	[動] ～を取り去る ～を裸にする
1435. dispose	[動] ～を処分する ～を...する気にさせる
1436. dump	[動] ～を投棄する ～をどさっと落とす
1437. weave	[動] ～を織る ～を作り上げる
1438. refine	[動] ～を洗練する ～を精製する
1439. enrich	[動] ～を豊かにする ～を濃縮化する
1440. coordinate	[動] ～を調整する ～を組織する、コーディネートする
1441. headline	[名] 見出し
1442. internship	[名] 実務研修 研修期間
1443. outlet	[名] 直売店、特売店 はけ口、コンセント
1444. remedy	[名] 治療 治療薬、解決法
1445. pill	[名] 錠剤、丸薬 ピル、経口避妊薬
1446. reception	[名] 反応 宴会、受付、受信
1447. transaction	[名] 取引 交流
1448. mutation	[名] 突然変異 変化
1449. dairy	[名] 乳製品 乳製品加工所
1450. compassion	[名] 同情
1451. posture	[名] 姿勢 心構え
1452. curse	[名] 悪態、ののしり言葉 呪い、災い
1453. funeral	[名] 葬式
1454. census	[名] 国勢調査 交通調査
1455. encyclopedia	[名] 百科事典
1456. cereal	[名] 穀物 シリアル
1457. fragment	[名] 断片
1458. patch	[名] 部分、斑点 継ぎ、貼り薬
1459. rubbish	[名] ごみ つまらないもの
1460. maze	[名] 迷路 複雑に込み入ったもの
1461. outlook	[名] 見解 見通し、眺め
1462. breakthrough	[名] 大発見、飛躍的進歩
1463. triumph	[名] 勝利 勝利の喜び、偉業
1464. ally	[名] 同盟国 提携者、援助者、盟友
1465. spectator	[名] 観客
1466. sphere	[名] 領域 球体、天体
1467. county	[名] 郡 州
1468. behalf	[名] 利益、味方
1469. interval	[名] 間隔 合間、隔たり、小休止
1470. circulation	[名] 循環 流通、発行部数
1471. blade	[名] 刃 プロペラの羽根、草などの葉
1472. theft	[名] 窃盗
1473. vacuum	[名] 真空 空虚
1474. collision	[名] 衝突 対立
1475. bargain	[名] 買い得品 取引、契約
1476. landmark	[名] 目印 画期的な出来事
1477. revenue	[名] 歳入
1478. treaty	[名] 条約 協定
1479. supreme	[形] 最高の
1480. thorough	[形] 徹底的な まったくの
1481. naked	[形] 裸の
1482. sincere	[形] 心からの 誠実な
1483. tame	[形] 飼いならされた、人に慣れた 退屈な
1484. insufficient	[形] 不十分な 不適当な
1485. dim	[形] 薄暗い ぼんやりした
1486. acute	[形] 激しい 鋭い、急性の
1487. disabled	[形] 障害のある 障害者用の
1488. metropolitan	[形] 大都市の、首都圏の
1489. monetary	[形] 金銭的な 金融の
1490. alternate	[形] 代わりの 交互の
1491. partial	[形] 部分的な 不公平な
1492. divine	[形] 神の 神にささげる
1493. drastic	[形] 徹底的な、抜本的な 極端な
1494. fierce	[形] 猛烈な 獰猛な
1495. sole	[形] 唯一の 単独の、独占的な
1496. spontaneous	[形] 自然発生的な 自発的な
1497. spatial	[形] 空間の
1498. neat	[形] きちんとした 見事な
1499. tidy	[形] きちんとした、整頓された 相当の
1500. loyal	[形] 忠実な 誠実な
1501. bless	[動] ～に恩恵を与える ～に感謝する
1502. regain	[動] ～を取り戻す
1503. conform	[動] 順応する 一致する
1504. enroll	[動] 登録する、入会する ～を登録させる
1505. entitle	[動] ～に権利を与える ～に題名をつける
1506. halt	[動] ～を止める 止まる
1507. provoke	[動] ～を引き起こす ～を挑発する
1508. invade	[動] ～を侵略する ～を侵害する、～に殺到する
1509. squeeze	[動] 押し入る ～を押し込む、搾る、強く押す
1510. crawl	[動] はう ゆっくり進む
1511. digest	[動] ～を消化する ～を理解する、～を要約する
1512. utter	[動] ～を発する ～を述べる
1513. refrain	[動] 控える
1514. populate	[動] ～に住む、～の住民である ～に人を住まわせる
1515. accommodate	[動] ～を収容する ～を適応させる
1516. steer	[動] 操縦する ～を向ける
1517. drown	[動] 溺死する ～を水浸しにする
1518. dip	[動] ～を浸す 突っ込む、下がる
1519. soak	[動] ～を浸す ～をずぶぬれにする、浸る
1520. stir	[動] ～をかき回す ～を揺り動かす
1521. transplant	[動] ～を移植する ～を移住させる
1522. reassure	[動] ～を安心させる
1523. resume	[動] 再開する ～を取り戻す
1524. speculate	[動] 推測する 投機する
1525. surpass	[動] ～を上回る
1526. appoint	[動] ～を任命する ～を指定する
1527. intrigue	[動] ～に興味を持たせる 陰謀を企てる
1528. decay	[動] 腐敗する 衰える
1529. contaminate	[動] ～を汚染する ～を墜落させる
1530. swell	[動] 膨張する、腫れる ～を膨らませる
1531. delete	[動] ～を削除する、消す
1532. tolerate	[動] ～を許容する、我慢する
1533. envy	[動] ～をうらやむ
1534. pray	[動] 祈る
1535. confess	[動] 告白する
1536. resign	[動] 辞任する ～を放棄する
1537. dissolve	[動] 溶かす ～を解放する、～を解消する、溶ける
1538. unfold	[動] ～を開く ～を明らかにする、開く、明らかになる
1539. awaken	[動] ～を目覚めさせる 覚める
1540. conceive	[動] 思いつく ～と想像する、妊娠する
1541. entrepreneur	[名] 起業家、事業家
1542. stake	[名] 利害関係 掛け金、杭
1543. surplus	[名] 余剰、過剰 黒字
1544. inflation	[名] インフレーション 物価の高騰
1545. sweatshop	[名] 搾取工場
1546. clash	[名] 衝突 対立、かち合うこと、ガチャンという音
1547. sociology	[名] 社会学
1548. ideology	[名] イデオロギー、思想傾向
1549. margin	[名] 余白 差、利ざや
1550. realm	[名] 領域 領土
1551. domain	[名] 分野 領域、ドメイン
1552. algorithm	[名] アルゴリズム 問題解決の手順
1553. prairie	[名] 大草原
1554. frontier	[名] 最先端 辺境地、国境
1555. bullet	[名] 銃弾
1556. shield	[名] 盾、防御物
1557. despair	[名] 絶望
1558. radiation	[名] 放射能、放射線
1559. placebo	[名] 偽薬、プラシーボ 気休め
1560. nursery	[名] 託児所 苗床
1561. spouse	[名] 配偶者
1562. makeup	[名] 化粧 化粧品、構成、性質
1563. mummy	[名] ミイラ ママ、お母さん
1564. flesh	[名] 肉 果肉
1565. limb	[名] 手足
1566. odor	[名] におい 気配
1567. laundry	[名] 洗濯 クリーニング店
1568. tide	[名] 潮、潮の干満 動向
1569. questionnaire	[名] アンケート
1570. nonsense	[名] ばかげたもの 無意味な言葉
1571. revenge	[名] 復讐
1572. intellect	[名] 知性 知識人
1573. hospitality	[名] 親切なもてなし、歓待 受容性
1574. librarian	[名] 司書、図書館員
1575. manuscript	[名] 原稿 写本
1576. obsession	[名] とりつかれること 妄想、脅迫観念
1577. hygiene	[名] 衛生、衛生状態 健康法
1578. paradigm	[名] 理論的枠組み、パラダイム 模範
1579. legitimate	[形] 合法的な 妥当な
1580. authentic	[形] 本物の 信頼できる
1581. empirical	[形] 経験的な 経験主義の
1582. immense	[形] 膨大な
1583. absurd	[形] ばかげた 不合理な
1584. weird	[形] 異様な、奇妙な
1585. accidental	[形] 偶然の 過失による
1586. uneasy	[形] 不安な 落ち着かない、ぎこちない
1587. jealous	[形] 嫉妬深い 用心深い
1588. feminine	[形] 女らしい
1589. swift	[形] 素早い
1590. hollow	[形] 空洞の 空虚な、うわべだけの
1591. crude	[形] 大まかな 粗野な、未精製の
1592. sore	[形] 痛い 痛がって
1593. pessimistic	[形] 悲観的な
1594. vain	[形] 無駄な うぬぼれた
1595. susceptible	[形] 影響をうけやすい 感染しやすい
1596. edible	[形] 食用の、食べられる
1597. sheer	[形] 純然たる、真の すごい、薄地の
1598. explicit	[形] 明白な 率直な
1599. prone	[形] なりやすい 傾向がある
1600. affluent	[形] 裕福な 豊富な
1601. collaborate	[動] 共同して働く 協力する
1602. exert	[動] ～を及ぼす ～を行使する
1603. excel	[動] 秀でている ～に勝る
1604. prosper	[動] 栄える、成功する 繁殖する
1605. surge	[動] 殺到する こみ上げる、急騰する
1606. intervene	[動] 介入する 介在する
1607. insert	[動] ～を挿入する
1608. overtake	[動] ～を追い抜く ～に追いつく、～を襲う
1609. snap	[動] ～をパチンと鳴らす ～をポキッと折る
1610. carve	[動] ～を彫る 肉を切り分ける
1611. addict	[動] 中毒になる（受身形） 凝る
1612. condemn	[動] ～を非難する 宣告される
1613. convict	[動] ～に有罪を宣告する
1614. dictate	[動] ～を指図する ～を書き取らせる、～を規定する
1615. prescribe	[動] ～を処方する ～を規定する
1616. inhibit	[動] ～を抑制する ～を妨げる
1617. stray	[動] はぐれる、迷う
1618. roam	[動] 歩き回る 放浪する
1619. enclose	[動] ～を同封する ～を取り囲む
1620. execute	[動] ～を実行する ～を処刑する
1621. coincide	[動] 同時に起こる 一致する
1622. lag	[動] 遅れる 徐々に弱まる
1623. cling	[動] しがみつく くっつく
1624. erase	[動] ～を消す
1625. grind	[動] 穀物などを挽く
1626. knit	[動] ～を編む ～を結合する、編み物をする
1627. inquire	[動] 尋ねる
1628. betray	[動] ～をうっかり表す ～を裏切る
1629. leak	[動] 漏れる ～を漏らす
1630. smash	[動] ～を粉砕する ～を強打する、粉々に壊れる、激突する
1631. bounce	[動] 跳ねる 反射する、～を弾ませる
1632. sprawl	[動] 不規則に広がる だらしなく手足を伸ばす
1633. converse	[動] 会話をする
1634. recite	[動] ～を暗唱する ～を詳述する
1635. disregard	[動] ～を無視する ～を軽視する
1636. frown	[動] 眉をひそめる
1637. evoke	[動] ～を呼び起こす
1638. pledge	[動] ～を誓う、約束する ～を与えることを約束する
1639. aspire	[動] 熱望する
1640. contemplate	[動] 熟考する ～を予想する
1641. grace	[名] 優美、優雅 分別、恩寵
1642. enlightenment	[名] 啓蒙、啓発
1643. commerce	[名] 商業 貿易
1644. draft	[名] 下書き 為替手形、隙間風
1645. barrel	[名] バレル たる
1646. timber	[名] 木材 樹木
1647. garment	[名] 衣服
1648. thread	[名] 糸 筋道
1649. cabinet	[名] 内閣 戸棚
1650. bureau	[名] 官庁の局 事務所、案内所
1651. autonomy	[名] 自律 自治、自治体
1652. toll	[名] 損害 死傷者数、通行料
1653. discourse	[名] 話し合い、会話 講演、演説
1654. superstition	[名] 迷信
1655. glimpse	[名] ちらりと見えること
1656. arithmetic	[名] 計算 算数
1657. glossary	[名] 用語小辞典 用語集
1658. archive	[名] 記録文書、公文書 公文書保管所、アーカイブ
1659. legacy	[名] 遺産
1660. anthropology	[名] 人類学
1661. rage	[名] 激怒 猛威
1662. sorrow	[名] 悲しみ
1663. psychiatrist	[名] 精神科医
1664. ward	[名] 行政区 病棟
1665. stall	[名] 露店 エンスト、失速
1666. flame	[名] 炎 情熱
1667. moisture	[名] 水分 湿気
1668. irony	[名] 皮肉
1669. warrior	[名] 戦士
1670. astronomy	[名] 天文学
1671. probe	[名] 宇宙探査機 精査、探り針
1672. altitude	[名] 高度、標高
1673. tumor	[名] 腫瘍 腫れもの
1674. defect	[名] 欠陥 不足
1675. sanitation	[名] 公衆衛生
1676. longevity	[名] 長寿 寿命、長年勤続
1677. scope	[名] 範囲 余地
1678. sentiment	[名] 感情 感傷、感想
1679. plausible	[形] もっともらしい
1680. vigorous	[形] 精力的な 激しい、活力のある
1681. masculine	[形] 男らしい
1682. rigid	[形] 厳しい 硬直した
1683. adverse	[形] 不都合な 逆の
1684. coherent	[形] 一貫した、筋の通った 結束した
1685. literal	[形] 文字通りの 逐語的な、散文的な
1686. arbitrary	[形] 恣意的な 独断的な
1687. anonymous	[形] 匿名の
1688. antique	[形] 骨董の、アンティークの 古風な
1689. eternal	[形] 永遠の 普遍の
1690. intermediate	[形] 中級の 中間の
1691. subordinate	[形] 下位の 副次的な
1692. gloomy	[形] 陰気な 薄暗い、悲観的な
1693. thermal	[形] 熱の、熱による 保温用の
1694. faint	[形] かすかな めまいがする、弱弱しい
1695. naive	[形] お人よしの、愚直な 純朴な
1696. apt	[形] 傾向がある 適切な、利発な
1697. arrogant	[形] 横柄な、傲慢な
1698. extrovert	[形] 外交的な 社交的な
1699. conspicuous	[形] 目立つ
1700. intact	[形] 損なわれていない、手つかずの
1701. embody	[動] ～を具現する ～を包含する
1702. illuminate	[動] ～を照らす ～を解明する
1703. console	[動] ～を慰める
1704. verify	[動] ～の正しさを証明する
1705. disclose	[動] ～を公表する、暴く
1706. stack	[動] ～を積む、積み重ねる 渋滞する
1707. rotate	[動] 回転する 循環する、～を回転させる
1708. constrain	[動] ～に強いる ～を抑える
1709. hinder	[動] ～を妨げる
1710. withstand	[動] ～に耐える
1711. tweet	[動] ツイートする、つぶやく
1712. sneeze	[動] くしゃみをする
1713. erupt	[動] 噴火する 勃発する
1714. blur	[動] ～をぼかす ～を曇らせる、～をあいまいにする
1715. overlap	[動] 重なる 重複する
1716. embed	[動] 埋め込まれる（受身）
1717. displace	[動] ～にとって代わる ～を移動させる
1718. render	[動] ～をある状態にする ～を与える
1719. plunge	[動] 突っ込む 没頭する、陥る
1720. surrender	[動] ～を放棄する、引き渡す 屈する
1721. plug	[動] ～のプラグを電源に差し込む ～をふさぐ
1722. suck	[動] 吸う しゃぶる
1723. mock	[動] ～をばかにする ～のまねをしてからかう
1724. tease	[動] からかう ～をいじめる
1725. soothe	[動] ～をなだめる ～を和らげる
1726. stain	[動] ～を汚す ～に着色する
1727. shun	[動] ～を避ける
1728. stumble	[動] よろけながら歩く つまずく
1729. flush	[動] ～を紅潮させる ～を水で流す、紅潮する
1730. impair	[動] ～を損なう
1731. presume	[動] ～と思う ～と推定する、～を前提とする
1732. contend	[動] ～と主張する 競う
1733. roar	[動] うなる、ほえる 大笑いする
1734. haunt	[動] ～につきまとう ～に出る、～によく行く
1735. divert	[動] ～をそらす ～を迂回させる、～を転用する
1736. await	[動] ～を待つ
1737. fetch	[動] ～を持ってくる
1738. unify	[動] ～を統合する 統一される
1739. inspect	[動] ～を点検する ～を観察する
1740. entail	[動] ～を伴う、引き起こす 含む
1741. tactics	[名] 作戦、方策 戦術、戦法
1742. feat	[名] 偉業、鉱石 妙技
1743. prestige	[名] 名声 名声のある
1744. analogy	[名] 類推 類似
1745. conscience	[名] 良心 分別
1746. textile	[名] 織物 繊維
1747. deficit	[名] 赤字、不足 欠陥
1748. plague	[名] 疫病 異常発生
1749. hazard	[名] 危険 偶然
1750. metabolism	[名] 新陳代謝、代謝作用
1751. paralysis	[名] 麻痺
1752. grid	[名] 供給網 格子模様、碁盤目
1753. carriage	[名] 馬車 車両、立ち居振る舞い、輸送
1754. friction	[名] 不和 摩擦
1755. rebel	[名] 反逆者
1756. regime	[名] 政権、政体 体制
1757. monopoly	[名] 独占
1758. staple	[名] 必需食品 主要産物
1759. merchandise	[名] 商品
1760. vendor	[名] 物売り、行商人 自動販売機
1761. supervisor	[名] 監督者 指導教員
1762. predecessor	[名] 前任者 前のもの
1763. personnel	[名] 職員、社員
1764. vessel	[名] 船舶 容器、脈管
1765. liver	[名] 肝臓
1766. duration	[名] 継続、持続
1767. certificate	[名] 証明書 免許状
1768. geometry	[名] 幾何学
1769. symmetry	[名] 左右対称 調和
1770. biography	[名] 伝記
1771. masterpiece	[名] 傑作
1772. rhyme	[名] 押韻詩 韻、詩歌
1773. premium	[名] 保険料 プレミア、景品
1774. breakdown	[名] 崩壊 衰弱、故障、内訳
1775. courtesy	[名] 礼儀正しさ 好意、優遇
1776. protocol	[名] 議定書 外交儀礼、プロトコル
1777. specimen	[名] 標本 実例
1778. thesis	[名] 論文 命題、テーゼ
1779. eligible	[形] 適格の、資格のある 望ましい
1780. intrinsic	[形] 固有の、本質的な
1781. diligent	[形] 勤勉な 入念な
1782. vocational	[形] 職業の、職業訓練の
1783. bankrupt	[形] 破産宣告を受けた 破たんしている
1784. stern	[形] 厳しい いかめしい
1785. stubborn	[形] 頑固な、強情な 手におえない
1786. maternal	[形] 母の、母親らしい 妊婦の
1787. fertile	[形] 肥沃な 多産の
1788. ripe	[形] 熟した 成熟した
1789. stiff	[形] 硬直した、凝った 堅い
1790. obsolete	[形] 廃れた、使わなくなった 古くなった
1791. vacant	[形] 空いている
1792. acoustic	[形] 音響の 聴覚の、アコースティックの
1793. preliminary	[形] 予備の、準備の
1794. approximate	[形] おおよその
1795. implicit	[形] 暗然の
1796. punctual	[形] 時間を守る
1797. compatible	[形] 矛盾しない
1798. ample	[形] 十分すぎるほどの 広い
1799. pervasive	[形] 隅々に広がった 浸透する、充満する
1800. ubiquitous	[形] いたるところにある
1801. deduce	[動] ～を推測する、演繹する
1802. simulate	[動] ～を模擬実験する ～を装う、～をまねる
1803. merge	[動] 合併する ～を融合させる、溶け込む
1804. penetrate	[動] 浸透する 進出する、貫く、見抜く
1805. cater	[動] 料理をまかなう 要望などに応える
1806. assault	[動] ～に暴行する ～を攻撃する
1807. torture	[動] ～を拷問にかける ～を苦しめる
1808. bleed	[動] 出血する
1809. erect	[動] ～を建てる ～を直立させる
1810. cherish	[動] ～を大切にする ～を心に抱く
1811. arouse	[動] ～を引き起こす ～を目覚めさせる
1812. doom	[動] 運命にある
1813. mourn	[動] 悼む 嘆く
1814. dread	[動] ～をひどく恐れる
1815. nourish	[動] ～に栄養を与える ～をはぐくむ
1816. inject	[動] ～に注射する、注入する ～を導入する
1817. swear	[動] ののしる 誓う
1818. bid	[動] ～の値をつける 挨拶を述べる
1819. corrupt	[動] ～を墜落させる ～を買収する、墜落する
1820. preoccupy	[動] ～の心を奪う、～を夢中にさせる
1821. browse	[動] 拾い読みする 閲覧する、見て歩く
1822. compile	[動] ～を編集する ～をまとめる
1823. allocate	[動] ～を割り当てる、分配する
1824. offset	[動] ～を相殺する、埋め合わせる ～をオフセット印刷する
1825. restrain	[動] ～を制止する ～を規制する
1826. comply	[動] 従う、応じる
1827. expire	[動] 期限が切れる
1828. embark	[動] 乗り出す 乗船する
1829. flap	[動] パタパタ動く 羽ばたく、～をパタパタ動かす
1830. furnish	[動] ～に備え付ける
1831. forge	[動] ～を偽造する ～を築く、～を鍛造する
1832. thrust	[動] ～を押し付ける ～を突き刺す、押し進む
1833. dispatch	[動] ～を派遣する ～を発送する、～を処理する
1834. resent	[動] ～に憤慨する
1835. reconcile	[動] ～を一致させる ～を和解させる
1836. allege	[動] ～を主張する
1837. oppress	[動] ～を抑圧、迫害する ～を悩ませる
1838. expel	[動] ～を追放する ～を吐き出す
1839. ascend	[動] 上がる
1840. commence	[動] 始まる ～を開始する、～し始める
1841. advent	[名] 出現、到来
1842. reign	[名] 治世 統治
1843. diplomacy	[名] 外交
1844. embassy	[名] 大使館 大使一行
1845. exile	[名] 亡命 国外追放
1846. refuge	[名] 避難 保護
1847. plight	[名] 窮状 悪い状態
1848. solitude	[名] ひとりでいること 孤独
1849. fallacy	[名] 誤った考え、誤信 錯誤
1850. latitude	[名] 緯度 許容範囲
1851. eclipse	[名] 日食、月食などの食 失墜
1852. basin	[名] 流域 盆地、海盆、洗面器
1853. erosion	[名] 侵食 衰退
1854. archaeology	[名] 考古学
1855. errand	[名] 使い、使い走り 要件
1856. mercy	[名] 慈悲 幸運
1857. rhetoric	[名] 修辞法 美辞麗句
1858. verse	[名] 韻文 詩
1859. congestion	[名] 混雑
1860. sewage	[名] 下水
1861. complement	[名] 補完物、補足 補語
1862. subsidy	[名] 補助金 報奨金
1863. mortgage	[名] 住宅ローン 抵当
1864. attorney	[名] 弁護士 代理人
1865. outfit	[名] 衣装一式 装備一式、組織
1866. bulk	[名] 大半 大きさ、大量
1867. reunion	[名] 再会 再結合
1868. synthesis	[名] 合成 総合
1869. mold	[名] 鋳型 鋳物、性格、かび
1870. thirst	[名] 渇き 渇望
1871. greed	[名] 強欲
1872. bribe	[名] 賄賂
1873. contempt	[名] 軽蔑 恥辱
1874. texture	[名] 感触、手触り 本質、質感
1875. orphan	[名] 孤児
1876. harassment	[名] 嫌がらせ、ハラスメント
1877. hay	[名] 干し草
1878. doctrine	[名] 教義 政策上の主義
1879. holistic	[形] 全体論の ホリスティックの
1880. liable	[形] しがちな 受けやすい、責任がある
1881. earnest	[形] まじめな、熱心な
1882. intelligible	[形] 簡単に理解できる
1883. abrupt	[形] 突然の
1884. reckless	[形] 無謀な 顧みない
1885. furious	[形] 激怒した 猛烈な
1886. eloquent	[形] 雄弁な 説得力のある
1887. juvenile	[形] 青少年の
1888. notorious	[形] 悪名高い
1889. timid	[形] 臆病な 内気な
1890. humid	[形] 湿気のある
1891. contagious	[形] 感染症の 病気を伝染する
1892. cynical	[形] 冷笑的な、皮肉な
1893. dumb	[形] ばかげた 口のきけない、無言の
1894. monotonous	[形] 単調な
1895. perpetual	[形] 永続的な ひっきりなしの
1896. dizzy	[形] めまいがする 当惑した
1897. weary	[形] 疲れ果てた うんざりした
1898. numb	[形] 麻痺した、無感覚な 呆然とした
1899. mortal	[形] 致命的な 死すべき
1900. zealous	[形] 熱心な