follow	に従う
consider	を考慮する
increase	増える
expect	を予期する
decide	することを決意する
develop	発達する
provide	を供給する
continue	続く
include	を含む
remain	ままでいる
reach	に着く
allow	を許可する
force	を強制する
offer	を申し出る
realize	を悟る
require	を必要とする
suggest	と提案する
worry	心配する
wonder	かと疑問に思う
cost	を要する
tend	する傾向がある
depend	依存する
share	を分け合う
demand	を要求する
support	を支持する
hire	を雇う
regard	みなす
base	基づいている
improve	を向上させる
recognize	を認める
notice	に気づく
suppose	だと思う
raise	を上げる
prefer	をより好む
enter	に入る
suffer	を経験する
describe	を描写する
prevent	を妨げる
reduce	を減らす
mistake	を誤解する
prepare	の準備をする
encourage	をはげます
prove	だとわかる
join	に参加する
treat	を扱う
establish	を確立する
relate	関係がある
compare	を比較する
spread	を広げる
refer	に言及する
supply	を供給する
gain	を得る
destroy	を破壊する
apply	当てはまる
seek	を求める
search	を捜す
claim	と主張する
draw	を引っ張る
introduce	を紹介する
refuse	を断る
mention	について述べる
judge	を判断する
approach	に接近する
admit	を認める
reflect	を反映する
perform	を行う
bore	をうんざりさせる
survive	生き残る
represent	を表す
argue	と主張する
grant	を認める
indicate	を指し示す
belong	所属している
acquire	を習得する
reply	返事をする
feed	にエサをやる
escape	逃げる
replace	に取って代わる
reveal	を明らかにする
surround	を取り囲む
suit	に合う
estimate	を推定する
aim	をねらう
earn	をもうける
decline	衰退する
afford	余裕がある
confuse	を当惑させる
graduate	卒業する
vary	変わる
remove	を移す
insist	と主張する
examine	を調査する
remind	思い出させる
contribute	貢献する
warn	に警告する
connect	をつなぐ
match	に匹敵する
focus	焦点を合わせる
reject	を断る
convince	を納得させる
associate	関連づける
rush	急いでいく
stress	を強調する
attract	魅惑する
rely	頼る
respond	返答する
threaten	を脅迫する
adopt	を採用する
shake	を振る
hurt	を傷つける
operate	作動する
extend	を広げる
blame	を非難する
consist of	で構成されている
persuade	を説得する
admire	に感心する
disappoint	を失望させる
expand	を拡大する
preserve	を保護する
struggle	苦闘する
arrange	の手はずを整える
disturb	を妨げる
employ	を雇う
engage	従事する
abandon	を捨てる
display	を展示する
encounter	に偶然出会う
exhaust	を疲れはてさせる
bother	に面倒をかける、困らせる
concentrate	集中する
adapt	を適応させる
puzzle	を当惑させる
appeal	を引きつける
combine	を結合させる
delay	を遅らせる
repair	を修理する
fascinate	を夢中にさせる
devote	をささげる
import	を輸入する
remark	を述べる
reserve	を予約する
amaze	を驚嘆させる
frighten	をおびえさせる
release	を解放する
rent	を賃借りする
recover	回復する
suspect	でないかと思う
deliver	を配達する
identify	の正体をつきとめる
locate	位置する
manufacture	を製造する
occupy	を占める
own	を所有している
expose	さらす
conclude	と結論づける
cure	を治療する
perceive	を知覚する
ban	を禁止する
alarm	をぎょっとさせる
derive	由来する
neglect	を無視する
adjust	慣れる
shift	を変える
embarrass	を困惑させる
approve	を承認する
commit	を犯す
stretch	を広げる
participate	参加する
impose	課す
owe A to B	ＡのことはＢのおかげだ
celebrate	を祝う
emerge	現れる
urge	に強く迫る
be seated	座っている
injure	を傷つける
imply	を（暗に）意味する
explain	を説明する
accept	を受け入れる
produce	を生産する
exist	存在する
occur	起こる
express	を表現する
add	を加える
avoid	を避ける
marry	と結婚する
protect	を守る
affect	に影響する
determine	を決定する
solve	を解決する
contain	を含んでいる
discuss	を議論する
ignore	を無視する
guess	を推測する
exchange	交換する
satisfy	を満たす
complain	苦情を言う
achieve	を達成する
enable	を可能にする
intend	つもりだ
obtain	を得る
divide	分割する
distinguish	を見分ける
differ	異なる
educate	を教育する
borrow	を借りる
invent	を発明する
promote	を促進する
advise	に忠告する
arise	生じる
permit	を許す
recommend	を勧める
define	定義する
inform	に知らせる
oppose	に反対する
trust	～を信用する
select	～を選ぶ
praise	～をほめる
handle	～に対処する
propose	～を提案する
breathe	～を呼吸する
criticize	～を非難する
overcome	～に打ち勝つ
possess	～を持っている
predict	～を予言する
publish	～を出版する
purchase	～を買う
recall	～を思い出す
explore	～を探検する
stare	じっと見る
absorb	～を吸収する
resemble	～に似ている
tear	～を引き裂く
consume	～を消費する
compete	競争する
quit	～をやめる
announce	～を発表する
react	反応する
wander	歩き回る
emphasize	～を強調する
generate	～を生み出す
result	結果
experience	経験
society	社会
trouble	悩み
value	価値
effect	影響
individual	個人
influence	影響
context	文脈
rate	割合
sign	兆候
service	公共事業
advance	進歩
officer	役人
material	物質
industry	工業
attempt	試み
trade	貿易
progress	進歩
excuse	言い訳
custom	習慣
passage	一節
economy	経済
range	範囲
traffic	交通
official	役人
sight	見ること
taste	好み
immigrant	移民
neighbor	近所の人
patient	患者
project	計画
favor	好意
appearance	外見
risk	危険
benefit	利益
feature	特徴
relative	親戚
region	地域
characteristic	特徴
pain	苦痛
kid	子供
occasion	場合
principle	原理
department	部門
duty	義務
scene	場面
basis	基礎
spirit	精神
medium	手段
mass	一般大衆
audience	聴衆
element	要素
climate	気候
revolution	革命
quarter	４分の１
conflict	対立
flood	洪水
atmosphere	大気
property	財産
reward	報酬
security	安全
delight	大喜び
desert	砂漠
background	背景
trend	傾向
grade	学年
impact	影響
institution	機関
interaction	交流
alternative	選択肢
harm	害
agency	機関
capacity	能力
minister	大臣
volunteer	ボランティア
access	利用する権利
quantity	量
branch	枝
laughter	笑い
transport	交通機関
vote	投票
resident	住民
square	正方形
situation	状況
government	政府
knowledge	知識
nation	国
effort	努力
period	時代
population	人口
purpose	目的
behavior	行動
lack	不足
skill	技術
quality	質
environment	環境
role	役割
attitude	態度
author	筆者
research	研究
opportunity	機会
source	源
disease	病気
shape	形
advantage	利点
method	方法
habit	習慣
detail	細部
distance	距離
crowd	群衆
clothes	服
instance	例
desire	願望
standard	水準
technology	科学技術
generation	世代
responsibility	責任
task	仕事
experiment	実験
evidence	証拠
decade	10年
loss	損失
aspect	側面
theory	理論
statement	記述
professor	教授
function	機能
surface	表面
factor	要因
organization	組織
policy	政策
resource	資源
contrast	対比
brain	脳
customer	客
goods	商品
creature	動物
structure	構造
tradition	伝統
weight	体重
labor	労働
citizen	市民
impression	印象
species	種
career	経歴
concept	概念
passenger	乗客
crime	犯罪
income	所得
temperature	気温
majority	大多数
origin	起源
literature	文学
equipment	設備
stranger	見知らぬ人
strength	強さ
planet	惑星
circumstance	状況
religion	宗教
pollution	汚染
wealth	富
civilization	文明
profit	もうけ
technique	技術
emotion	感情
phenomenon	現象
cancer	ガン
bottom	底
billion	十億
status	地位
youth	若者
confidence	自信
edge	周辺
household	家庭
scholar	学者
survey	調査
vocabulary	語彙
enemy	敵
construction	建設
lecture	講義
instruction	指示
crisis	危機
instrument	器具
crop	作物
weapon	兵器
device	装置
path	道
earthquake	地震
stream	小川
notion	概念
substance	物質
victim	犠牲者
fuel	燃料
ancestor	祖先
soil	土壌
debate	討論
violence	暴力
colleague	同僚
philosophy	哲学
analysis	分析
universe	宇宙
electricity	電気
insect	昆虫
disaster	災害
storm	嵐
plenty	十分な
agriculture	農業
gene	遺伝子
advertising	広告
carbon	炭素
infant	幼児
evolution	進化
cell	細胞
aid	援助
consequence	結果
talent	才能
common	ありふれた
public	公の
likely	ありそうな
serious	深刻な
particular	ある特定の
available	利用できる
local	地元の
ready	用意ができた
correct	正しい
familiar	よく知られた
physical	肉体の
worth	価値がある
involved	関係している
equal	等しい
private	個人の
obvious	明白な
native	母国の
complex	複雑な
be willing to～	進んで～する
current	最新の
male	男の
proper	適切な
capable	～する能力がある
independent	独立した
positive	積極的な
pleasant	楽しい
significant	重要な
former	前の
chemical	化学的な
upset	動揺している
previous	以前の
global	世界的な
specific	特定の
conscious	意識している
superior	より優れている
efficient	効率がいい
fundamental	基本的な
narrow	狭い
reasonable	理にかなった
nervous	神経質な
alike	似ている
domestic	家庭の
negative	消極的な
moral	道徳的な
eager	熱心な
remarkable	すばらしい
evil	悪い
awake	目を覚まして
aged	年老いた
anxious	心配して
thin	薄い
nuclear	核の、原子力の
legal	合法の、法律の
curious	好奇心が強い
calm	冷静な
tough	難しい
civil	一般市民の
actually	実は
nearly	ほとんど
therefore	それゆえに
exactly	正確に
possibly	ひょっとすると
contrary	反対に
occasionally	時々
somehow	どういうわけか
seldom	めったに・・・ない
thus	それゆえ
whereas	～だが一方
besides	～に加えて
general	全体的な
various	さまざまな
similar	似ている
complete	完全な
recent	最近の
expensive	高価な
political	政治的な
aware	気づいている
ancient	古代の
medical	医学の
essential	不可欠だ
huge	巨大な
terrible	ひどい
practical	実用的な
entire	完全な
favorite	いちばん好きな
comfortable	快適な
active	積極的な
typical	典型的な
ideal	理想的な
vast	広大な
appropriate	適切な
empty	からの
rapid	急速な
mental	精神の
excellent	すばらしい
convenient	つごうがいい
potential	潜在的な
financial	財政的
enormous	莫大な
rare	珍しい
complicated	複雑な
tiny	ちっちゃな
considerable	かなりの
sensitive	敏感な
intellectual	知的な
broad	広い
polite	礼儀正しい
accurate	正確な
sharp	急激な
rude	失礼な
sufficient	十分な
urban	都会の
widespread	広まっている
primitive	原子的な
permanent	永久の
elderly	高齢の
severe	厳しい
brief	簡潔な
slight	少しの、わずかな
latest	最新の
military	軍事的
strict	厳しい
solid	固体の
stupid	ばかな
biological	生物学的な
probably	おそらく
hardly	ほとんど～ない
immediately	すぐに
eventually	ついに
frequently	しばしば
extremely	非常に
gradually	だんだん
merely	単に
nevertheless	それにもかかわらず
moreover	その上
relatively	比較的
apparently	一見
absolutely	絶対に
largely	主に
mostly	大部分は
somewhat	多少
not necessarily	必ずしも～でない
despite	～にも関わらず
proceed	進む
ensure	～を確実にする
interpret	～を解釈する
cease	～しなくなる
spoil	～を台無しにする
obey	～を従う
eliminate	～を除去する
resist	～に抵抗する
accompany	～に同伴する
weigh	～の重さがある
pursue	～を追求する
demonstrate	～を明らかに示す
amuse	～を楽しませる
ruin	～を台無しにする
regret	～を後悔する
attach A to B	AをBにくっつける
reverse	～を反対にする
restrict	～を制限する
compose	～を組み立てる
capture	～を捕らえる
substitute	～を代わりに用いる
trace	～の跡をたどる
interrupt	～を妨げる
confront	～に直面する
illustrate	～を示す
arrest	～を逮捕する
stimulate	～を刺激する
assure	～を保証する
consult	～に相談する
depress	～を憂うつにさせる
crash	激突する
inspire	～を奮起させる
specialize	専門にする
cultivate	～を育む
fulfill	～果たす
transmit	～を送る
found	～を創立する
cheer	～を励ます
burst	破裂する
bow	おじぎする
dismiss	～を無視する
breed	～を繁殖させる
prohibit	～を禁じる
oblige	～に強いる
qualify	～に適任である
invest	～を投資する
grasp	～を理解する、つかむ
collapse	崩壊する
overlook	～を見落とす
accuse	～を非難する
frustrate	を欲求不満にさせる
deprive	～を奪う
astonish	～を驚嘆させる
register	～を登録する
correspond	一致する
cast	～を投げる
attribute Ａ to B	ＡをＢのせいにする
freeze	凍りつく
starve	飢える
resolve	～を解決する
embrace	～を受け入れる
exhibit	～を展示する
convert	～を転換する
scare	～をおびえさせる
constitute	～を構成する
appoint	～を任命する
sew	～を縫う
assign	～を割り当てる
nod	うなずく
elect	～を選挙で選ぶ
acknowledge	～を認める
rob A of B	ＡからＢを奪う
lean	もたれる
undertake	～を引き受ける
drown	おぼれ死ぬ
split	～を割る
resort to A	Aに訴える
descend	下る
irritate	～をいらだたせる
pronounce	～を発音する
equip	～を装備させる
cheat	～をだます
decorate	～を装飾する
pardon	～を許す
heal	～を治す
forgive	～を許す
envy	～をうらやむ
chase	～を追いかける
prompt	～を促す
withdraw	～を引っ込める
detect	～を探知する
interfere	Ａをじゃまする
launch	～を始める
endanger	～を危険にさらす
foster	～を促進する
diminish	減少する
spill	～をこぼす
infect	～に感染する
stem from A	Ａから生じる
tap	～を軽くたたく
bet	きっと～だと思う
declare	～を宣言する
alter	～を変える
retire	辞める
transform	変える
defeat	～を打ち負かす
investigate	～を調査する
pretend to do	～するふりをする
annoy	～をいらだたせる
deserve	～を受けるに値する
bury	～を埋める
cope with	うまく対処する
pour	～を注ぐ
score	～を取る
accomplish	～をやり遂げる
hesitate to do	～することをためらう
endure	～に耐える
translate	翻訳する
guarantee	～を保証する
dominate	～を支配する
confirm	～を裏づける
greet	～にあいさつする
entertain	～を楽しませる
defend	～を守る
forbid	～を禁じる
broadcast	～を放送する
sacrifice	～を犠牲にする
punish	～を罰する
glance at	ちらりと見る
retain	～を保持する
calculate	～を計算する
sink	沈む
rescue	～を救助する
beg	～に乞う
apologize to～	～に謝る
deceive	～をだます
convey	～を伝える
sustain	～を維持する
float	浮かぶ
vanish	消える
fade away	薄れる
regulate	～を規制する
distribute	～を分配する
enhance	～を向上させる
chat with	おしゃべりする
exceed	～を超える
wipe	～をふく
cooperate with	協力する
inherit	～を受け継ぐ
restore	～を修復する
unite	団結させる
leap	跳ぶ
exaggerate	～を誇張する
conquer	～を征服する
melt	溶ける
invade	～に侵入する
modify	～を修正する
scatter	～をばらまく
undergo	～を経験する
evaluate	～を評価する
bend	身をかがめる
assist in	手伝う
scream	悲鳴をあげる
gaze at	見つめる
rub	～をこする
polish	～を磨く
classify	分類する
assert	～と主張する
grab	～をつかむ
fold	～を折りたたむ
sweep	～を掃く
whisper	ささやく
imitate	～をまねる
proportion	比率
contract	契約
appointment	約束
treasure	財宝
stock	株
facility	施設
sum	合計
rank	地位
democracy	民主主義
emergency	緊急事態
protest	抗議
track	足跡
vehicle	乗り物
routine	決まりきった仕事
stuff	物
row	列
wheel	車輪
dawn	夜明け
welfare	福祉
perspective	見方
enthusiasm	熱意
faith	信頼
occupation	職業
witness	目撃者
kingdom	王国
equivalent	同等のもの
objective	目的
pile	積み重ね
shelter	避難所
trial	試み
honor	名誉
territory	領土
frame	わく
border	国境地帯
statistics	統計
enterprise	企業
fee	謝礼
load	荷物
grain	穀物
review	再検討
prejudice	偏見
strain	負担
trap	わな
temper	気性
slave	奴隷
wound	傷
divorce	離婚
tune	曲
height	高さ
faculty	学部
span	期間
dimension	側面
worship	崇拝
version	...版
parallel	類似
horizon	水平線
acquaintance	知人
burden	重荷
jam	渋滞
poison	毒
constitution	憲法
administration	経営
charm	魅力
organ	臓器
prey	獲物
venture	冒険的事業
mission	任務
inquiry	調査
award	賞
strip	細長い一片
distress	苦しみ
circulation	循環
shade	陰
stereotype	固定観念
client	顧客
output	生産高
lord	神
convention	慣習
mine	鉱山
craft	工芸
core	中心
stroke	脳卒中
frontier	国境
peer	仲間
vessel	船
disability	障害
gravity	重力
ethic	倫理
terminal	終点
tide	潮流
abuse	虐待
incident	出来事
laboratory	研究所
conference	会議
continent	大陸
insurance	保険
site	用地
poverty	貧乏
shortage	不足
affair	情勢
exception	例外
wage	賃金
wisdom	知恵
tax	税金
leisure	暇
barrier	壁
category	範ちゅう
unit	単位
reputation	評判
virtue	美徳
courage	勇気
sympathy	同情
union	組合
document	書類
volume	冊
ceremony	儀式
era	時代
dispute	紛争
campaign	運動
mankind	人類
murder	殺人
landscape	風景
destination	目的地
tale	話
reform	改革
muscle	筋肉
prospect	見通し
corporation	企業
colony	植民地
quarrel	口論
profession	職業
fever	熱
pause	休止
furniture	家具
privilege	特権
prosperity	繁栄
genius	天才
seed	種
symptom	症状
merit	長所
layer	層
clue	手がかり
fiction	小説
distinct	地区
prison	刑務所
companion	仲間
executive	重役
justice	正義
procedure	手続き
ray	光線
heaven	天国
luxury	ぜいたく
oxygen	酸素
fund	資金
theme	主題
boundary	境界
ambition	熱望
forecast	予報
psychology	心理学
charity	慈善
committee	委員会
physician	医者
shelf	たな
affection	愛情
candidate	候補
bomb	爆弾
priority	優先
obstacle	障害
appetite	食欲
tension	緊張
tribe	部族
budget	予算
temple	神殿
sorrow	悲しみ
satellite	衛星
insight	洞察
cough	せき
fate	運命
scheme	計画
insult	侮辱
inhabitant	住民
fossil	化石
motive	動機
instinct	本能
legend	伝説
empire	帝国
suburb	郊外
architecture	建築
passion	情熱
horror	恐怖
logic	論理
dozen	ダース
harvest	収穫
ingredient	材料
hypothesis	仮説
voyage	航海
editor	編集者
option	選択の自由
hemisphere	半球
mechanism	仕組み
anthropologist	人類学者
crew	乗組員たち
tragedy	悲劇
refrigerator	冷蔵庫
fare	運賃
debt	借金
curriculum	教育課程
component	構成要素
wheat	小麦
usage	使用法
garbage	ゴミ
famine	飢饉
extinction	絶滅
purse	財布
folk	民族
explosion	爆発
portion	部分
organism	生物
merchant	商人
myth	神話
priest	神父
funeral	葬式
wildlife	野生生物
congress	議会
bay	湾
penalty	刑
heritage	遺産
diversity	多様性
thumb	親指
geography	地理
envelope	封筒
discrimination	差別
virus	ウィルス
statue	像
athlete	運動選手
pioneer	先駆者
trait	特徴
bond	きずな
grocery	食料品
secretary	秘書
dialect	方言
